concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
66	77	159	56	69	89
50	42	45	61	43	79
0	42	49	46	29	78
38	50	0	69	29	73
58	62	10	83	93	55
56	43	25	42	36	81
51	39	46	57	45	84
35	55	33	57	26	81
44	40	42	56	45	76
56	46	51	59	44	82
56	41	65	85	51	94
55	41	44	54	42	82
113	45	53	52	0	73
48	41	33	58	45	83
72	43	47	56	47	84
51	40	43	60	46	83
104	41	43	58	44	80
71	48	34	74	30	76
26	26	112	64	44	74
50	41	42	60	44	78
34	55	33	76	44	76
54	28	42	64	71	78
90	76	54	93	50	81
47	42	74	65	36	75
45	41	37	62	43	75
48	45	47	61	41	73
61	31	56	67	48	78
49	42	43	69	46	76
47	40	40	66	42	78
51	42	43	65	43	75
45	45	53	86	28	90
56	44	40	61	44	80
71	35	165	56	97	67
80	67	31	50	34	85
0	75	28	63	39	77
73	53	65	61	41	75
56	44	45	60	43	84
47	40	35	64	41	84
52	40	45	59	45	83
56	33	32	60	45	83
40	44	25	62	46	79
69	32	94	55	67	89
69	32	94	55	67	89
52	42	36	60	41	80
40	44	52	64	52	95
51	45	45	64	42	76
45	44	85	57	31	72
50	43	47	63	47	77
44	48	110	76	48	75
54	45	58	60	47	79
39	56	25	57	30	77
59	41	37	58	46	74
105	44	61	59	56	81
55	48	39	53	44	81
63	28	14	58	43	80
44	33	0	48	39	88
50	46	37	60	53	85
51	47	55	58	47	82
37	41	42	57	49	83
52	42	41	61	44	81
42	53	161	68	43	81
43	40	50	63	46	84
36	47	41	59	43	82
34	15	47	67	37	88
51	45	44	64	43	80
150	52	147	66	53	85
56	45	53	68	50	84
58	45	50	65	49	79
46	43	40	59	43	79
51	35	36	66	79	77
79	39	57	73	26	79
75	11	109	60	86	75
43	59	86	56	44	80
48	44	44	64	42	78
56	53	66	68	49	83
51	44	49	67	49	80
66	26	31	58	45	95
52	44	48	57	45	80
56	48	47	61	50	77
54	46	43	63	42	83
22	23	12	63	33	71
51	44	38	63	45	84
91	36	107	43	0	97
55	52	44	57	48	81
50	76	36	52	23	87
52	49	54	58	44	75
64	73	62	86	79	83
64	73	62	86	79	83
41	55	60	63	40	81
58	43	43	60	50	81
51	44	52	61	45	73
49	44	43	62	46	82
58	18	53	81	55	78
55	43	56	54	44	82
91	16	43	80	81	70
52	58	0	63	26	66
82	37	102	75	0	60
64	49	68	63	91	81
58	46	43	65	52	85
35	63	70	48	49	93
53	42	39	62	49	87
91	46	58	61	53	88
59	46	44	62	51	86
62	42	43	59	50	90
51	49	12	65	0	66
