concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
257	9	0	29	62	103
228	7	2	17	69	103
226	22	25	22	65	104
226	15	0	26	99	82
210	23	0	12	67	109
181	19	13	20	56	104
207	39	0	19	43	89
195	28	36	9	81	113
206	26	19	21	56	105
207	24	0	21	53	113
213	12	79	3	58	88
224	22	18	18	55	105
215	20	35	15	2	83
212	15	46	27	50	103
180	21	19	20	41	111
188	0	32	32	8	118
156	22	21	24	32	116
162	20	18	18	45	118
223	38	0	0	4	121
216	28	31	26	61	125
218	24	33	22	53	121
184	15	0	18	55	120
191	24	28	12	33	120
209	19	18	26	52	122
236	44	0	43	104	133
226	23	39	23	56	128
265	21	34	26	66	133
225	19	44	25	60	127
284	44	0	17	104	132
259	34	9	13	63	127
273	23	20	22	79	118
262	19	109	0	18	100
258	34	85	32	97	104
248	22	21	22	77	111
231	23	23	24	75	110
209	34	25	23	99	110
236	22	13	27	71	118
239	20	14	25	72	109
231	22	17	24	70	108
215	22	16	24	77	109
245	27	44	22	74	111
245	27	44	22	74	111
230	25	17	6	67	107
233	13	0	5	68	117
208	21	15	22	65	108
179	22	18	24	67	108
204	27	97	17	82	92
208	52	33	23	46	111
239	24	41	20	74	98
263	24	19	19	59	103
276	27	38	16	92	93
229	21	14	25	76	84
213	0	48	12	79	68
219	9	41	27	57	87
201	28	13	23	76	84
182	22	13	22	71	82
178	22	15	22	70	78
213	40	16	25	65	77
235	22	24	20	72	79
244	27	32	27	62	77
242	6	151	0	70	81
235	24	18	22	56	74
227	57	26	33	70	87
211	26	20	27	57	74
204	25	13	23	60	70
187	11	0	49	62	62
198	20	13	21	49	70
208	0	43	40	51	75
245	24	117	20	60	75
235	22	21	17	51	71
188	37	38	16	67	77
173	23	22	24	72	71
161	24	16	22	54	73
154	29	34	25	40	77
149	25	21	55	52	74
145	24	20	25	52	73
133	33	0	29	35	87
164	20	19	23	44	76
182	61	0	19	46	81
247	26	34	21	43	86
298	19	32	18	44	89
319	34	0	11	0	76
335	22	27	26	44	100
361	51	14	22	0	100
366	18	23	14	47	108
366	18	23	14	47	108
