concentration_1	concentration_2	concentration_3	concentration_4	concentration_5	concentration_6
158	52	12	13	35	70
176	57	18	26	55	76
153	59	15	20	41	74
153	59	15	20	41	74
141	59	28	20	41	73
139	68	43	0	19	57
142	62	34	10	54	66
146	61	14	21	31	72
173	63	2	22	14	70
179	74	42	26	35	74
163	67	24	21	35	73
175	55	0	20	41	73
206	49	16	22	31	72
225	51	21	21	35	68
208	48	37	28	37	87
208	48	18	20	35	66
133	77	0	23	4	66
159	46	18	24	34	62
147	80	0	10	30	56
138	45	31	27	36	53
128	43	63	2	42	80
124	47	13	22	31	64
108	46	20	22	35	63
126	53	44	44	44	66
128	47	18	26	35	69
126	50	31	20	35	70
131	44	11	24	36	72
159	47	21	22	39	73
137	51	0	12	39	76
187	49	22	32	41	73
157	54	16	20	39	73
120	70	0	28	0	76
128	56	18	27	41	73
133	48	44	20	32	79
134	54	20	22	43	76
111	26	0	27	36	69
112	39	0	19	49	71
167	39	13	22	34	68
193	75	0	37	29	67
231	44	16	22	36	67
174	46	18	17	36	67
175	43	27	25	43	76
179	48	18	23	52	72
175	49	14	23	36	63
167	50	2	40	38	60
143	57	23	26	39	70
119	53	34	26	36	68
119	53	34	26	36	68
122	50	0	24	31	70
141	46	13	22	27	67
200	47	20	24	27	68
226	50	31	16	34	88
250	41	35	27	33	67
262	44	25	20	27	64
248	28	23	20	16	53
255	37	23	27	32	64
235	37	16	20	30	59
252	37	7	26	39	61
211	38	115	25	39	58
201	37	26	27	37	58
188	67	0	30	44	47
160	39	0	21	41	47
139	34	23	23	34	57
149	36	19	20	36	56
153	29	41	9	38	60
141	32	17	33	41	53
134	33	14	21	57	58
162	31	15	16	41	37
162	33	20	22	37	27
154	33	76	12	60	31
157	42	38	24	79	30
152	42	34	23	58	45
117	43	115	23	36	0
144	51	0	25	57	42
114	34	16	21	50	32
100	62	34	6	48	35
109	35	4	23	61	28
116	20	33	9	61	32
142	46	0	43	50	57
101	25	80	35	17	32
124	32	35	11	38	32
163	35	24	23	38	40
193	41	0	21	31	30
235	21	38	23	67	64
178	33	32	22	35	40
147	33	16	22	34	39
120	0	0	23	58	47
119	28	15	27	33	37
111	30	22	24	40	39
134	19	0	42	39	24
134	19	0	42	39	24
112	32	23	27	40	43
103	29	26	28	38	45
100	29	34	26	40	49
216	34	0	31	31	51
252	30	15	31	35	55
189	32	22	27	40	55
141	33	46	11	40	53
132	25	15	27	52	54
137	30	16	26	36	61
148	23	37	11	13	71
127	28	18	23	44	65
118	29	17	31	44	65
184	35	29	26	52	66
203	38	44	23	63	69
184	36	34	23	57	57
203	7	18	11	57	57
158	31	16	22	58	55
190	34	24	24	62	59
197	57	8	17	108	63
243	39	17	23	58	63
275	32	0	17	66	66
241	35	16	25	47	57
197	39	22	25	49	58
174	38	0	20	58	58
188	17	19	21	57	55
125	33	0	14	56	55
131	35	20	23	36	56
132	38	15	27	37	64
138	77	91	15	41	66
141	41	24	23	36	63
156	52	0	20	75	61
131	39	16	24	42	62
127	46	114	18	45	64
157	44	23	24	44	52
182	42	35	26	38	65
201	71	13	0	21	61
174	41	13	22	34	67
121	39	17	35	56	70
143	22	35	9	79	72
119	33	0	21	13	51
151	33	7	19	17	73
170	33	14	32	40	72
239	38	30	28	42	79
213	32	24	27	39	75
213	32	24	27	39	75
210	34	17	23	35	74
185	31	13	25	30	76
148	33	18	22	29	79
