x	y	z	w	concentration
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	35
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.900884	4.46873	-0.0179867	0.999838	34
-0.895557	4.46853	-0.0180739	0.999837	34
-0.882559	4.46804	-0.0194699	0.99981	34
-0.865897	4.4674	-0.0195572	0.999809	34
-0.837857	4.46631	-0.0186847	0.999825	34
-0.802698	4.465	-0.0185102	0.999829	34
-0.766346	4.46366	-0.0181612	0.999835	34
-0.726072	4.46219	-0.0185974	0.999827	34
-0.685885	4.46069	-0.0183357	0.999832	34
-0.644418	4.45919	-0.0175504	0.999846	34
-0.602821	4.45773	-0.0172014	0.999852	34
-0.565441	4.4565	-0.0158053	0.999875	34
-0.530574	4.45536	-0.0176376	0.999844	34
-0.500485	4.4543	-0.0164161	0.999865	34
-0.470946	4.45337	-0.015718	0.999876	34
-0.443578	4.45474	-0.0139151	0.999903	34
-0.417017	4.45701	-0.0138612	0.999904	34
-0.391823	4.45632	-0.0140357	0.999901	34
-0.368422	4.45557	-0.0193582	0.999813	34
-0.35057	4.45481	-0.0226736	0.999743	34
-0.334041	4.45404	-0.0241568	0.999708	34
-0.320282	4.45338	-0.0232843	0.999729	31
-0.30719	4.45281	-0.0238757	0.999715	31
-0.291892	4.463	-0.0200797	0.999798	31
-0.280514	4.46255	-0.0192072	0.999816	31
-0.269775	4.46215	-0.0165897	0.999862	31
-0.25703	4.46174	-0.0155426	0.999879	31
-0.241215	4.46129	-0.0114415	0.999935	31
-0.22497	4.46096	-0.00934718	0.999956	31
-0.206635	4.46067	-0.00428585	0.999991	31
-0.190429	4.46062	0.00444077	0.99999	31
-0.176273	4.46083	0.0107238	0.999942	30
-0.160583	4.46118	0.0111601	0.999938	30
-0.137132	4.46166	0.00845494	0.999964	30
-0.111676	4.46208	0.00845494	0.999964	30
-0.0883948	4.46247	0.00775683	0.99997	30
-0.0673721	4.46274	0.00278272	0.999996	30
-0.0486933	4.4628	0.000513794	1	30
-0.0299971	4.46998	0.00116777	0.999999	30
-0.0148064	4.47555	-0.00434351	0.999991	30
-0.00226997	4.47536	-0.0125462	0.999921	30
0.00902688	4.47504	-0.0142914	0.999898	32
0.0204936	4.4747	-0.0171709	0.999853	32
0.0321689	4.47423	-0.0238017	0.999717	32
0.0438389	4.47364	-0.0272912	0.999628	32
0.0530367	4.47313	-0.0265933	0.999646	32
0.0646218	4.47255	-0.0225803	0.999745	32
0.0752317	4.47212	-0.0157748	0.999876	32
0.080859	4.47197	-0.00635061	0.99998	32
0.0826074	4.47195	0.00481943	0.999988	32
0.0826074	4.47195	0.00473217	0.999989	32
0.0826074	4.47195	0.00447037	0.99999	32
0.0826074	4.47195	0.00420857	0.999991	32
0.0826074	4.47195	0.00420857	0.999991	32
0.0826074	4.47195	0.00420857	0.999991	32
0.0835734	4.47467	0.00509723	0.999987	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
0.0845884	4.47751	0.00603031	0.999982	32
